published_datetime,published_time,publisher,scraped_at,thumbnail_url,title,url
2025-05-18T12:49:51.678677,1 hour ago,Could AI help elderly people and refugees reconstruct unrecorded pasts?,2025-05-18T13:49:51.678677,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Could AI help elderly people and refugees reconstruct unrecorded pasts?,https://news.google.com/read/CBMivgFBVV95cUxQVFRMbXZWV2h6V1o4cWpES2J4NHR1ZXU2a2lLMWFzU0Zic2NPc1dBWGlIRmVZSXVGUUJhU19CTzhBU1pnUU9ZQlA5Qk1Md1dMQzZwMkpHbFhuZ0xWemFRVFZzcVBhc050a3Z0eHgySGY3UVBKb1U2MTY2SE4xbFVWWnBrVU9BZWd1SGp3THlYSU1lTVI0bDNyZ3draVB1THJ4RmxmSkxCTW1vTHM4VXRKY19QVU5HZU01b0FHWVZn0gHDAUFVX3lxTE12YkZtalFTanB6ZTFpS1FDQXpMZGRSYWNxOG9WNFZ0RXA3VkNMVlVuREU0X1hRUjRxZ1c4ajJwdVI3NzFZeXQ2QzJxTzV1T2dwZHo3Z3FGV0E1b28tTU9HTmp0aXR1aG03S3ktY3VTREFGZk9ydFpKaFAwT0wxbFpiRlFRQ2ttVmFoZ2R3OXE5a19aWXBUQ0w0dXR6a3I0RXFZZkJYallUQVRaZktNMFllV2dudHRyZDBHVS1pMHZ2YzdSaw?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T09:49:51.679676,4 hours ago,Don’t embarrass yourself in your next AI conversation,2025-05-18T13:49:51.679676,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.komando.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Don’t embarrass yourself in your next AI conversation,https://news.google.com/read/CBMiSkFVX3lxTFB2NEJidFYtZ29hbi1Nb2hjdXFxeTViN01PTUpBYUFYTnBleWFNZWxnWUs1Q2I1dXE5ZGdOMU1zamtEb1VqSEtFbk9B?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T13:40:51.680806,9 minutes ago,"I tried Motorola Next Move, and it’s unlike any other AI feature I’ve used",2025-05-18T13:49:51.679676,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.androidauthority.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","I tried Motorola Next Move, and it’s unlike any other AI feature I’ve used",https://news.google.com/read/CBMiekFVX3lxTFB6X1FNOHJhX3lHeG5MNmJQazdxalhOZ3pwVWtZLVpfNkFyaXFZQ3ZDN1JUeFllS3dVOEtEZE14R05NZEVyVE9QWXBrVl9ZZEJnOEhtMmlrQTZfbV9fbV9aRUVCeUJJU2hyNjZFOUJGcVd6T1dNRHVjR0x3?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T12:49:51.681784,1 hour ago,13 jobs that don't require a college degree -- and won't be replaced by AI,2025-05-18T13:49:51.680806,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.usatoday.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",13 jobs that don't require a college degree -- and won't be replaced by AI,https://news.google.com/read/CBMipgFBVV95cUxNcVZkZHp6WE1fTVB5a3Zkdnc1c3hta21QMFJLanpGSThWcWFYc2hLcDY1YnoxMTRYbnotN0h5OExkWUlycFJLTUtod3FuVG5tYnh5Q0Y4MGFVLS15NHRLclJWRFRZTkhJcjR4cmQxeGZSeHA0SzUwWEZ4N3c5VWZpbUxDLXJRTHluVUtvVE9Jc2RYQ0haVVRleXFXR0cwNm5oVC1sQnR3?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T07:49:51.681784,6 hours ago,Feeding the future: Experts on AI’s role in agriculture and food systems,2025-05-18T13:49:51.681784,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Feeding the future: Experts on AI’s role in agriculture and food systems,https://news.google.com/read/CBMipAFBVV95cUxPdDh4SHc1X0NXZW91dUZXTmF4eXdseldpaEdLTGcyTm9zTEdqQVBodm5aWWhVMHhVbUlINlo5SE5temprU3lhTlFiU3QtOU5ZQllhanFVV19SVUl0bFNMN0Vid2J0SXZ6ODdZdW9rMXJlb0ZLSGs3ZFNnZHE0X2ZqWHd1ZE5NNVN4bV9ieG13aDRGcE54VEhhSUVrM0U5WkxYVnNRSw?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T12:49:51.682906,1 hour ago,Sir Elton John 'very angry' over AI plans,2025-05-18T13:49:51.682906,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Sir Elton John 'very angry' over AI plans,https://news.google.com/read/CBMiV0FVX3lxTE5IenVmZVVNZ3ZVdEEyTTJiNU1JQl9lVFUwUjJhWlVnaXdIQXVSb1dld1J1TVlDSjdaWVdiVjA1Y1RleUV0ZG1pNnpfV2ZlLUZVZVFEay1BVQ?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T07:49:51.683694,6 hours ago,"Microsoft's fired AI director to 6,000 laid off employees along with her: 'These are people who…'",2025-05-18T13:49:51.683694,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://timesofindia.indiatimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","Microsoft's fired AI director to 6,000 laid off employees along with her: 'These are people who…'",https://news.google.com/read/CBMi9wFBVV95cUxORUlxSVI1VEdVSFJ6TVVXRE5yVmFBdVRfV2FsTWZTUHpGNFkwVXlEN25nZWlWRG5DZF9Zd19wX1ZqbFZlaWdhMmZFbTlZeVE4OThSNWRQZlRsWGJuVV9xQkZBUnQ2eVV4UkpkdHBTTVJSWThQQ1B0SkZFYlhFVUxhQjJYLVFKSGNoOWJhM0NFZzZpOG83b1dTZXlCWlVWX0MtZ1MydGFDU2k1RTBTb2V0NmdKRnFnakJ6SDZlZ25CaXV4ZDQyWVRXZ3dYYWNyZTVZTHdoMHZLWTBKbVVYZ2ViRlZ3OTI4ejR2QldfaF85WXA2cmZnUmVN0gH8AUFVX3lxTFBmRDBzWFZUaEozTHYtZEoya2t1OHAtZ1NlOTJZM0l6aWdfUmc3QUVGemdSaGlsRXBCaURaWDQ4V1hjcFVUekZlSDMtUkc3YTZ2VlFWWDM0OW9QZXF4RTNlcWFrTFg2VTNSaHZla0hPUUVGdVZpYUNrQkZyYk9lcl9wMlZBMFhBZVNNTkkyZnNpNzdHd0hORmk0MjVOSjdzZVJyUjFES1NMOUZDR3ctd2p1Q2F3bG5SNW42ZFVPOThaX185NEVjdTRZRWxQTzRWLTJxdnJHYzFJaFE5RExEOFJtN0FnUnhDaTYzQmlqSHRuaW42R3JISTUtSjNjWg?hl=en-US&gl=US&ceid=US%3Aen
2025-05-16T13:49:51.685676,2 days ago,"Introducing Strands Agents, an Open Source AI Agents SDK",2025-05-18T13:49:51.683694,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://aws.amazon.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","Introducing Strands Agents, an Open Source AI Agents SDK",https://news.google.com/read/CBMinAFBVV95cUxPWFUwU3BtR2xhd09KYjZId05lWmNVbHJEd3RIOUxRRHlDV2gzeklpNWwyYmVrQXhCcWdMM09UWi1fZ2VuNHZZd2xYeEI4a2xENlVVYUdObEgybVNld09vczdzU0JBb19SZzFSWE9zbnBBMG1iQTNXYkFHRjU0aThXTEpGdS1YMVo2TkNiOTFaeXpoR3QtdjlReHFxRFI?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T11:49:51.686677,2 hours ago,32.9% of Warren Buffett's $286 Billion Portfolio Is Invested in 3 Artificial Intelligence (AI) Stocks,2025-05-18T13:49:51.685676,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.fool.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",32.9% of Warren Buffett's $286 Billion Portfolio Is Invested in 3 Artificial Intelligence (AI) Stocks,https://news.google.com/read/CBMikgFBVV95cUxQVTIwXzhJS0xxNUJxSUZ1RW9sOVpKZ3A4VmY0SW5CQ0dmbVdwSjdub21pdDJwMnVjZ1pLQzZvRmpVMmZKaTdBNHdxR2J5OVBtWmxtbGxTZ0ZBX3RkcGFsVTdEeWpYWFVyM3oxUFRVNGxwSGhoXzY2aTJaT1FwcmswcG95UGNuWVdxeTFQRmpBRW94Zw?hl=en-US&gl=US&ceid=US%3Aen
2025-05-16T13:49:51.686677,2 days ago,"No, Graduates: AI Hasn't Ended Your Career Before It Starts",2025-05-18T13:49:51.686677,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.wired.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","No, Graduates: AI Hasn't Ended Your Career Before It Starts",https://news.google.com/read/CBMiigFBVV95cUxNNWduREM4YnNlNU5IT1RoVHNlY3A2M1dINEZEekxrN0xHWlhPUC1GcDUxVk9ZZUNCS0FEVDBwLUhLSVNXRFJkLVNxRWhmY0J4R0FueXh6ekhlS05aNFBRV2UyT3JSajNhRnMwOWdWMlRJRGtNR0QxZUx1aHpRVFc1RmpQX1RXUDBjWUE?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T10:49:51.688677,3 hours ago,MCP Blender Addon Lets AI Take The Wheel And Wield The Tools,2025-05-18T13:49:51.687676,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://hackaday.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",MCP Blender Addon Lets AI Take The Wheel And Wield The Tools,https://news.google.com/read/CBMimAFBVV95cUxNcl9xaFE4VTQ3T3BjeVVzSjJ4RjB0UXJEOFhuQ1pkcTlBNTdla0RFQzNTdDVWMTdTaTM2MUwwZldLcGF5UEpZTjZobUs2bmstSi1NWVlFVktXbmZRTVdLb1k1YnZzajJQUjg5dlBHVy0yZUFzTEN6Q0xwc3RfMXFQeFlNSmdIbzYzTmJIc3M5ZWRTcndabjBDRg?hl=en-US&gl=US&ceid=US%3Aen
2025-05-15T13:49:51.689680,3 days ago,"New AI and accessibility updates across Android, Chrome and more",2025-05-18T13:49:51.689680,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://blog.google&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","New AI and accessibility updates across Android, Chrome and more",https://news.google.com/read/CBMiiwFBVV95cUxQRGwwNEZUMnJrcERUNFgxdzlXeDhtemZGaXBwWVVjVFJzeXRUR29Tc3hEb3FMZzBmdW9DU0pETUVZeG5NOVBja3lmMGkxRzY5MGlEd3lrcWUwaUFnYW9TZTBzbS1IREI0bndhUmtUeXp5RHdxUTk1bGRvZWJXWVR3TmVESG9hanRPaEJn?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T13:33:51.690679,16 minutes ago,"🖥️ To survive Gen AI in the workplace, become a learning athlete",2025-05-18T13:49:51.689680,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.clickorlando.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","🖥️ To survive Gen AI in the workplace, become a learning athlete",https://news.google.com/read/CBMisgFBVV95cUxOdEs0NjFhbERsNlhrMkNBU0ZhTlplZk9BS19RWGxENXdSWTEwWHFrREMzSHVLYXlmaDRYU1pBdm5kVTZCYW01YzV5SHRKMnBZWkFaejJnM1ZoeHZfeTkzYnJFcl8weGxSa0RKRWFBM0VQS0h6Q3JXQ0NWbDlObFd1c0I1aGp1SU0zd3FUY2MtYlpkUEJSdFhrMkdBbmh1dlBiY0c4Z19acm12Qk9fVV9OcFJB?hl=en-US&gl=US&ceid=US%3Aen
2025-05-17T17:49:51.691677,20 hours ago,Y Combinator startup Firecrawl is ready to pay $1M to hire three AI agents as employees,2025-05-18T13:49:51.690679,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://techcrunch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Y Combinator startup Firecrawl is ready to pay $1M to hire three AI agents as employees,https://news.google.com/read/CBMivgFBVV95cUxNNXRaOEFfa2xocjcyTW5DQl9JZjh1X2tFd2ZGbTlSWkN0NWxhbVVUeFpnai1DME91QmZiajVQU0hyWkxaR3dOQ0V0WEMzMlZHR1RDUW8wYi1rRnRYSlk2ZDZrUkJLdWY2SUVfc0NndmtGNW43blRTUDNfUzAzMW5fWDRPQXNEaUJQOThGakJscmJybE9IRTdiN0VMYXJmbDF1ZFhZa2tQdUxnRjZScklCc1pDNG05eWhFQkNHQ3BB?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T12:49:51.692677,1 hour ago,Students with disabilities see AI as a game-changing tool but schools are slow learning how to harness it,2025-05-18T13:49:51.691677,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.milwaukeeindependent.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Students with disabilities see AI as a game-changing tool but schools are slow learning how to harness it,https://news.google.com/read/CBMiwgFBVV95cUxPVlFJamhDNERFMmVpN3VxeWxlTV9tYk1YVTN2LUI2NGJjQkdFOGV1VzFSVDZmdDdqQkFJWGxXT191VWluRnhrbkFheVNaTEgyQ3RaZDdaZmo1bzZtbFBMdVljQ2FXVnVzbEpiQWZWTzQ4VWpSQTlQaFJlamw2VnVxeVYyRjNqNmx1bmpjRVZTRW1Jam04ZkdvTHdxVVdJc3BZWkhzc0pWa0VtOXZveUNvN0tMTWpTVDFlWjYwby1mYS1GZw?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T06:49:51.693799,7 hours ago,Trading bots are evolving: What happens when AI cheats the market?,2025-05-18T13:49:51.693799,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.euronews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Trading bots are evolving: What happens when AI cheats the market?,https://news.google.com/read/CBMirgFBVV95cUxOUS05aWtObkQ3TjgyYVJZMm5Ea3BzQjRubVVQcjdIclVpUUVqZmFxWE9VQWlkM2FHMFdPUmJFZFFnX2xTU0pfZmdaajFIRGJ4Tk9NcjdkZ2oxdm1OZTMyLTNzNWdyN2dyeVJKa2dMd09QbmtpRy1HU0hZS3NzRk5kQlRreTN0TnhlYnJfaWVPcUVXZWk0RzhybnV2TVJiTjBSZG1ldmRWU2RSTVI3WHc?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T01:49:51.694908,12 hours ago,"AI chips are the new 'coin of the realm' as they grease the wheels of geopolitical negotiations, BofA says",2025-05-18T13:49:51.694908,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://fortune.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","AI chips are the new 'coin of the realm' as they grease the wheels of geopolitical negotiations, BofA says",https://news.google.com/read/CBMisgFBVV95cUxOOGFjR0tYTHNLLTdRYnpJSmwwUUFCcDFqd1BzZDNzdkgwcjNIbkl1LVdVeWFxS0lZdktsWEgwTU1xZGJGanBPbkVNdFF1bkQ3dGxjT0Rya1NuR29pUkZPbUNRa2dCdlhuYTRMbnh3b0hCc1JHQ1h3TDRNNW82Yi1UTjVpNmJ2Vk1HSVdUM0REdDJudmZUUEZRQUt6aVlHNXZkNDl3TVRmeHJjY3hVSVA1bzRR?hl=en-US&gl=US&ceid=US%3Aen
2025-05-15T13:49:51.695702,3 days ago,Top Priority for Pope Leo: Warn the World of the A.I. Threat,2025-05-18T13:49:51.695702,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Top Priority for Pope Leo: Warn the World of the A.I. Threat,https://news.google.com/read/CBMijgFBVV95cUxOeFc3cGhtMG9Eai1MTXNKTlhSczNQUHM2SFZhd3E4OVZyY3MzUUNGZDZCelVtQnlrcXhFblZndnR6NlJZQksxd2FnSEF4LXRlMFB2WHRIdmIwNzFrS1NNOHRmMHg5N1U4MjRiMGJWZ2Y1T3lSMGU5UXZxUEdaQ0ZSMldzQXBJd2dqOVlYbE53?hl=en-US&gl=US&ceid=US%3Aen
2025-05-17T15:49:51.696866,22 hours ago,Nvidia-backed CoreWeave soars 100% since IPO as investors see AI demand outweighing 'risky' business model,2025-05-18T13:49:51.695702,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Nvidia-backed CoreWeave soars 100% since IPO as investors see AI demand outweighing 'risky' business model,https://news.google.com/read/CBMi4wFBVV95cUxPNmdHUUZBdHk3TzhQMHFJaUZxS1pNM0d6aGN3Z1picGtFd2xURVlPQmhHNEJ4NDRWY05ueXhhT3BDS0MxTldxRTBHRFlUNHVZR2JZS0dLSXZnM05sNHN2ZEFHdnY1d1Jpb1R1b1lqcTdOUm14MkRQbU96clUtUGoxbHV1c0Z0cEpKSWxrOU1EeGJYd2FXeWVyazlRSGxqRmtRYlNzblRPMGVkN1RHcTlwNGt3NU5QcHdWZEdJeGZtX0d5Tzhsb1RqQ0dLNFNlclVZY3h1ZjZacnNpN0FWSUxVaUZZaw?hl=en-US&gl=US&ceid=US%3Aen
Yesterday,Yesterday,These 19 stocks at the intersection of AI and robotics could see big sales boosts,2025-05-18T13:49:51.696866,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.marketwatch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",These 19 stocks at the intersection of AI and robotics could see big sales boosts,https://news.google.com/read/CBMiwgFBVV95cUxOMlo2QkFKc3Y3S3JTMnRYUEVfaEMxdGR0UE0xWFUtX0ozdWhyRl93eHIzQnhXQ0drOTZISzRmazJGWGJHZThvU0tYVnN2N0VEOFBPMlJhVmtBb3hxNy10cFYwdXNKMGMzZ0tTd3ZfX0ZWVzZWOXU2c3owd1VqUllsV3dWdWJZM3otWTdCbnFhcEI1TUtJU3FiVGt6Qi0xMU1KQkVzVS1LbEUwNEtUTmpOZmxRUTNmVjgxRElzQy1KRjdNZw?hl=en-US&gl=US&ceid=US%3Aen
2025-05-16T13:49:51.698852,2 days ago,Watch: World leaders laugh at AI-generated video of themselves as babies,2025-05-18T13:49:51.697887,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://edition.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Watch: World leaders laugh at AI-generated video of themselves as babies,https://news.google.com/read/CBMiggFBVV95cUxOUktheXNhN2xzZ0s2cnU1OXVQajJZS0hZMldzSnJfQVp0bzdSMlpIb3BHTWYxNFlEZHVUa0xCZng1MHVkRnhoSXQtYXlfNVFxS2ljcTQxYlhtTXA3aGJjUGd0ZEVDUjl2elBxRHhscW9rSmN4b2ttbXJRZ1dNV3liRU53?hl=en-US&gl=US&ceid=US%3Aen
2025-05-17T19:49:51.699895,18 hours ago,AI Daily: Nvidia says not sending GPU designs to China,2025-05-18T13:49:51.698852,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",AI Daily: Nvidia says not sending GPU designs to China,https://news.google.com/read/CBMiekFVX3lxTE5wV1ZIZTJNVEdMMVBxTm40eWJHZjhmQ1Nkc08zUy00bjJwb2NXVjlmclcteHlUS3o3RXFVNG0zaGZ1ZUU1Q2tsaHBLM1RvdFNIaUpKTjV5VzFaRzQwRVI2MTd3Wlc3QzF5VkRiaUZoU3ZJSnhGME5XSzR3?hl=en-US&gl=US&ceid=US%3Aen
