published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-05-18T08:40:53.231538,5 hours ago,Elton John brands government 'absolute losers' over AI copyright plans,2025-05-18T13:40:53.230604,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Apple’s Alibaba A.I. Deal Provokes Washington’s Resistance,2025-05-18T13:40:53.232667,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Trump administration is concerned by deal to put Alibaba's AI on iPhones: Report,2025-05-18T13:40:53.234438,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.237389,2 days ago,Big Chinese companies like Alibaba show that AI-powered ads are giving shopping a boost,2025-05-18T13:40:53.236388,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T13:03:53.239387,37 minutes ago,AI study finds 'no significant impact on earnings or recorded hours',2025-05-18T13:40:53.238388,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://fortune.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.240387,2 days ago,MIT Says It No Longer Stands Behind Student’s AI Research Paper,2025-05-18T13:40:53.239387,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T11:40:53.241387,2 hours ago,AI breakthrough allows doctors to 'see' dangerous blood clots forming,2025-05-18T13:40:53.240387,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.foxnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.242387,2 days ago,"House Republicans include a 10-year ban on US states regulating AI in ‘big, beautiful’ bill",2025-05-18T13:40:53.241387,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T15:40:53.243386,22 hours ago,China’s next-gen surveillance tools get AI boost to target Telegram or VPN users,2025-05-18T13:40:53.242387,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.scmp.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T07:40:53.245387,6 hours ago,"Microsoft's fired AI director to 6,000 laid off employees along with her: 'These are people who…'",2025-05-18T13:40:53.244386,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://timesofindia.indiatimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T15:40:53.246389,22 hours ago,"Nvidia CEO: If I were a student today, here's how I'd use AI to do my job better—it ‘doesn’t matter’ the profession",2025-05-18T13:40:53.246389,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Nvidia CEO Sees No Evidence of AI Chip Diversion Into China,2025-05-18T13:40:53.247579,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T05:40:53.249584,8 hours ago,Former Google CEO Eric Schmidt may have just agreed with ‘AI warning’ of Nvidia’s Jensen Huang,2025-05-18T13:40:53.248612,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://timesofindia.indiatimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.250541,3 days ago,Exclusive | Meta Is Delaying the Rollout of Its Flagship AI Model,2025-05-18T13:40:53.250541,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,"Nvidia gets an AI boost, Meta hits a AI roadblock, and Apple's brutal year: Tech news roundup",2025-05-18T13:40:53.251527,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://qz.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.253591,3 days ago,Meta Shares Slip on Report That It’s Delaying Flagship AI Model,2025-05-18T13:40:53.252614,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.255387,2 days ago,Californians would lose AI protections under bill advancing in Congress,2025-05-18T13:40:53.253591,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://calmatters.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T21:40:53.256387,16 hours ago,MIT disavows doctoral student paper on AI’s productivity benefits,2025-05-18T13:40:53.256387,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://techcrunch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.257387,3 days ago,Meta to Train AI on E.U. User Data From May 27 Without Consent; Noyb Threatens Lawsuit,2025-05-18T13:40:53.257387,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://thehackernews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.259389,4 days ago,Stony Brook Medicine Pioneers Use of AI Technology for Heart Disease Diagnosis on Long Island,2025-05-18T13:40:53.258387,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://news.stonybrook.edu&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T19:40:53.260388,18 hours ago,AI Daily: Nvidia says not sending GPU designs to China,2025-05-18T13:40:53.259389,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T12:40:53.261386,1 hour ago,Elton John says UK government being ‘absolute losers’ over AI copyright plans,2025-05-18T13:40:53.260388,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,What Is Lost with the Rise of AI,2025-05-18T13:40:53.261386,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://evolutionnews.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T19:40:53.263386,18 hours ago,"US slams brakes on AI Diffusion Rule, hardens chip export curbs",2025-05-18T13:40:53.262387,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.artificialintelligence-news.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.266396,3 days ago,Google hits 150 million users for subscription service with help of AI,2025-05-18T13:40:53.264386,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.267388,2 days ago,Trump's AI deals in Gulf stir China fears back home,2025-05-18T13:40:53.267388,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.axios.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.269387,3 days ago,"China launches first of 2,800 satellites for AI space computing constellation",2025-05-18T13:40:53.268388,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://spacenews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T12:40:53.270394,1 hour ago,Sir Elton John 'very angry' over AI plans,2025-05-18T13:40:53.269387,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.271388,2 days ago,"Weeks after Amazon's Alexa+ AI launch, a mystery: where are the users?",2025-05-18T13:40:53.270394,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Elon Musk's AI company says Grok chatbot focus on South Africa's racial politics was 'unauthorized',2025-05-18T13:40:53.272390,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T13:04:53.274387,36 minutes ago,Oracle (ORCL) Launches New AI Health Agent in Canada,2025-05-18T13:40:53.273389,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.276416,2 days ago,Elon Musk’s chatbot just showed why AI regulation is an urgent necessity,2025-05-18T13:40:53.275387,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.msnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T12:50:53.277623,50 minutes ago,Bill Gates names three well-paying jobs that are safe from AI,2025-05-18T13:40:53.276416,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.irishstar.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.278582,4 days ago,Republicans propose prohibiting US states from regulating AI for 10 years,2025-05-18T13:40:53.278582,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.279603,2 days ago,"Oracle, Cleveland Clinic, and G42 Announce Strategic Partnership to Launch AI-Based Global Healthcare Delivery Platform",2025-05-18T13:40:53.279603,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.oracle.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Microsoft says it provided AI to Israeli military for war but denies use to harm people in Gaza,2025-05-18T13:40:53.280599,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.282612,3 days ago,"New AI and accessibility updates across Android, Chrome and more",2025-05-18T13:40:53.281509,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://blog.google&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.283529,2 days ago,"US and UAE plan to build 5GW AI data center campus, run by G42 and American hyperscalers",2025-05-18T13:40:53.282612,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.datacenterdynamics.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.285388,2 days ago,Trump agrees deal for UAE to build largest AI campus outside US,2025-05-18T13:40:53.283529,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T13:10:53.287388,30 minutes ago,'Criminal': Elton John condemns UK's AI copyright plans,2025-05-18T13:40:53.286387,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.tradingview.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.288387,3 days ago,"UAE to build biggest AI campus outside US in Trump deal, bypassing past China worries",2025-05-18T13:40:53.287388,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.289388,2 days ago,Trump wraps up Gulf tour with AI and energy deals in UAE,2025-05-18T13:40:53.289388,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T06:40:53.291387,7 hours ago,It pays to use AI on the sly at work,2025-05-18T13:40:53.290387,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.ft.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.292391,2 days ago,Watch: World leaders laugh at AI-generated video of themselves as babies,2025-05-18T13:40:53.291387,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://edition.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-13T13:40:53.293386,5 days ago,Inside the first U.S. medical school to fully incorporate AI into its doctor training program,2025-05-18T13:40:53.292391,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T15:40:53.294387,22 hours ago,"AI models can't tell time or read a calendar, study reveals",2025-05-18T13:40:53.293386,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.livescience.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.296410,3 days ago,"With AI, researchers predict the location of virtually any protein within a human cell",2025-05-18T13:40:53.295388,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://news.mit.edu&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T15:40:53.297537,22 hours ago,Nvidia-backed CoreWeave soars 100% since IPO as investors see AI demand outweighing 'risky' business model,2025-05-18T13:40:53.297537,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T06:40:53.298606,7 hours ago,What do AI chatbots say about their own bosses — and their rivals?,2025-05-18T13:40:53.298606,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.ft.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.300590,4 days ago,Your A.I. Radiologist Will Not Be With You Soon,2025-05-18T13:40:53.299587,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.301593,4 days ago,Become a certified Generative AI Leader with a first-of-its-kind credential from Google Cloud.,2025-05-18T13:40:53.300590,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://blog.google&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T17:40:53.302595,20 hours ago,AI Chatbots Mirror a Human Brain Disorder,2025-05-18T13:40:53.301593,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://neurosciencenews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
